"month","year","winery","wine_name","style","vintage","wine_type","primary_varietal_blend","varietal_list","rating","region","sub_region","sub_sub_region","estimated_price","natural?","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Three Graces Blend","red","2015","","cabernet sauvignon","cabernet sauvignon","4","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Estate Cabernet","red","2006","","cabernet sauvignon","cabernet sauvignon","4","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Soter Vineyards","Soter Napa Blend","red","2007","","cabernet sauvignon","cabernet sauvignon, cabernet franc, malbec","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Grgich Hills","Chardonnay paris tasting commemorative","white","2016","","chardonnay","chardonnay","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Grgich Hills","Napa valley estate grown","white","2012","","chardonnay","chardonnay","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Grgich Hills","Late harvest gewurztraminer","white","2016","","gewurztraminer","gewurztraminer","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Frog's Leap","Rutherford Merlot","red","2016","","merlot","merlot, cabernet sauvignon","4","california","napa","rutherford","","","","","","","","","","","","","","","","","","",""
"august","2019","Soter Vineyards","Soter Origin Series Ribbon Ridge","red","2016","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","ribbon ridge","","","","","","","","","","","","","","","","","","",""
"august","2019","Soter Vineyards","Mineral Springs White Label","red","2015","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"august","2019","Bergstrom Wines","Gregory Ranch","red","2016","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","yamhill carlton","","","","","","","","","","","","","","","","","","",""
"august","2019","Bergstrom Wines","Shea Vineyard","red","2017","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","yamhill carlton","","","","","","","","","","","","","","","","","","",""
"august","2019","Colene Clemens","Margo","red","2015","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"august","2019","Colene Clemens","Adriane","red","2015","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"august","2018","","Podere San Giovanni","red","2014","vino nobile di montepulciano","sangiovese","sangiovese","4","italy","tuscany","montepulciano","18","","","","","","","","","","","","","","","","","",""
"august","2019","Grgich Hills","Sauvignon blanc reserve","white","2017","","sauvignon blanc","sauvignon blanc","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","ACORN","Acorn Hill Super Tuscan","red","2013","","syrah","syrah, sangiovese","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"december","2018","","Chateau Croix de Beaucaillou","red","2006","","cabernet sauvignon","cabernet sauvignon, merlot","4","france","bordeaux","st julien","55","","","","","","","","","","","","","","","","","",""
"december","2018","","Rodney Strong","red","2016","","cabernet sauvignon","cabernet sauvignon","4","california","sonoma","","25","","","","","","","","","","","","","","","","","",""
"december","2018","","Enso Counoise","red","2015","","counoise","counoise","4","oregon","columbia river valley","","30","","","","","","","","","","","","","","","","","",""
"december","2018","","Domaine Chantepierre","red","2016","southern rhone gsm","grenache","grenache, syrah, mourvedre","4","france","cotes du rhone","","10","","","","","","","","","","","","","","","","","",""
"december","2018","","Domaine Chantepierre","red","","","grenache","grenache, syrah, mourvedre","4","france","rhone","","25","","","","","","","","","","","","","","","","","",""
"december","2018","","Las Rocas de San Alejandro","red","2015","","grenache","grenache","4","spain","catalayud","","12","","","","","","","","","","","","","","","","","",""
"december","2018","","Finca el Origen","red","2015","","malbec","malbec","4","argentina","mendoza","","12","","","","","","","","","","","","","","","","","",""
"december","2018","","Chateau La Croix de Gay","red","2014","","merlot","merlot, cabernet franc","4","france","bordeaux","pomerol","45","","","","","","","","","","","","","","","","","",""
"december","2018","","Praia Vinho Verde","white","2018","","vinho verde","vinho verde","4","portugal","minho","","15","","","","","","","","","","","","","","","","","",""
"december","2018","","La Mesa Primitivo rose","rose","2017","not in database","zinfandel","zinfandel","4","california","central valley california","lodi","20","","","","","","","","","","","","","","","","","",""
"december","2018","","La Mesa Primitivo","red","2014","sierra foothills zinfandel","zinfandel","zinfandel","4","california","central valley california","lodi","25","","","","","","","","","","","","","","","","","",""
"february","2019","","Malvira NV Birbet","dessert","n/v","","brachetto","brachetto","4","italy","piedmont","","40","","","","","","","","","","","","","","","","","",""
"february","2019","","Tom Mackey Cellars Cab","red","2016","","cabernet sauvignon","cabernet sauvignon","4","california","sonoma coast","","40","","","","","","","","","","","","","","","","","",""
"february","2019","","Silenus Cab","red","2015","","cabernet sauvignon","cabernet sauvignon","4","california","napa valley","","125","","","","","","","","","","","","","","","","","",""
"february","2019","","Storrs Santa Cruz Mountains","white","2017","","chardonnay","chardonnay","4","california","santa cruz","","32","","","","","","","","","","","","","","","","","",""
"february","2019","","Sol Rouge The Keep","red","2013","","grenache","grenache, syrah, mourvedre","4","california","lake county","","60","","","","","","","","","","","","","","","","","",""
"february","2019","","VIE NV Melange Maison","red","2013","","grenache","grenache, mourvedre, syrah","4","california","santa barbara","","30","","","","","","","","","","","","","","","","","",""
"february","2019","","Contratto ""For England""","rose","2011","","nebbiolo","nebbiolo","4","italy","piedmont","","30","","","","","","","","","","","","","","","","","",""
"february","2019","","La Spinetta Vigneto Bordini","red","2012","","nebbiolo","nebbiolo","4","italy","piedmont","barbaresco","50","","","","","","","","","","","","","","","","","",""
"february","2019","","La Spinetta Vigneto Gallina","red","2003","","nebbiolo","nebbiolo","4","italy","piedmont","barbaresco","150","","","","","","","","","","","","","","","","","",""
"february","2019","","Sua Sponte Cellars Foss Vineyards","red","2016","sonoma pinot noir","pinot noir","pinot noir","4","california","russain river valley","","20","","","","","","","","","","","","","","","","","",""
"february","2019","","Square Peg","red","2016","sonoma pinot noir","pinot noir","pinot noir","4","california","russain river valley","","68","","","","","","","","","","","","","","","","","",""
"february","2019","","Spindrift Cellars","red","2016","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","20","","","","","","","","","","","","","","","","","",""
"february","2019","","Sosie Vivio Vineyards","white","2016","","roussanne","roussanne","4","california","sonoma","","38","","","","","","","","","","","","","","","","","",""
"february","2019","","Steele Vineayrds Zinfandel","red","2016","","zinfandel","zinfandel","4","california","lake county","","25","","","","","","","","","","","","","","","","","",""
"january","2019","","Vermeil Wines 34 Red Blend","red","","","cabernet sauvignon","cabernet sauvignon, cabernet franc, petite syrah, zinfandel","4","california","napa valley","","45","","","","","","","","","","","","","","","","","",""
"january","2019","","Denner Vineyards GSM Blend Ditch Digger","red","2016","","grenache","grenache, mourvedre, syrah, counoise, cinsault","4","california","paso robles","","70","","","","","","","","","","","","","","","","","",""
"january","2019","","Conundrum","red","","","petite sirah","petite sirah, cabernet sauvignon, zinfandel","4","california","california","","24","","","","","","","","","","","","","","","","","",""
"january","2019","","Merry Edwards ","red","2013","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","55","","","","","","","","","","","","","","","","","",""
"january","2019","","Primarius ","red","2016","not in database","pinot noir","pinot noir","4","oregon","oregon","","16","","","","","","","","","","","","","","","","","",""
"january","2019","","Domaine Guisset Cotes du Roussillon","red","2014","","syrah","syrah, carignan, grenache","4","france","cotes du roussillon","","40","","","","","","","","","","","","","","","","","",""
"july","2019","Structure Cellars","Foundation White Label","red","2017","","cabernet franc","cabernet franc","4","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Latta Wines","Upland Vineyard","red","2015","","grenache","grenache","4","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Rotie Cellars","GSM Rose Stonewall","rose","2018","","mourvedre","mourvedre, syrah, grenache","4","washington","walla walla","","","","","","","","","","","","","","","","","","","",""
"july","2019","Paul Mathew","TNT Pinot","red","2010","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Paul Mathew","Bohemian vineyard pinot","red","2015","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Pellegrini","Hurst pinot noir","red","2016","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Gracianna Winery","Estate","red","2016","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Halleck Vineyard","Farm pinot","red","2014","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Latta Wines","Lawrence Vineyard Roussanne","white","2016","","roussanne","roussanne","4","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Domaine Auchere","Sancerre","white","2017","","sauvignon blanc","sauvignon blanc","4","france","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Rotie Cellars","Northern blend Syrah","red","2017","","syrah","syrah, viognier","4","washington","walla walla","","","","","","","","","","","","","","","","","","","",""
"july","2019","Latta Wines","Dana Dibble","red","2015","","syrah","syrah, viognier","4","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Red Car","syrah","red","","","syrah","syrah","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2018","","Castilla La Mancha El Valor Y La Gracia","red","2017","spanish tempranillo","tempranillo","tempranillo","4","spain","la mancha","","10","","","","","","","","","","","","","","","","","",""
"july","2019","Rotie Cellars","Southern white blend","white","2018","","viognier","viognier, roussanne, marsanne","4","washington","walla walla","","","","","","","","","","","","","","","","","","","",""
"july","2019","Paul Mathew","Viognier","white","2018","","viognier","viognier","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Pellegrini","Olivet Lane old vine","red","2015","","","","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Vidovich","Monte bello road","red","2010","","cabernet sauvignon","cabernet sauvignon, merlot, cabernet franc","4","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Vidovich","Monte bello road","red","2009","","cabernet sauvignon","cabernet sauvignon, merlot, cabernet franc","4","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Thomas Fogarty","Walker's nebbiolo","red","2015","","nebbiolo","nebbiolo","4","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","","Morey Saint Denis ""Aurelien Verdet""","red","2014","bourgogne pinot noir","pinot noir","pinot noir","4","burgundy","cote d'or","","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","Anderson Valley","red","2016","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Thomas Fogarty","Rapley trail pinot","red","2014","central coast pinot noir","pinot noir","pinot noir","4","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Ridge Vineyards","GSM Blend","red","2016","","syrah","syrah, mourvedre, grenache","4","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Quady North","Canned Rose","rose","","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Primus The Blend Apalta","red","2015","","cabernet sauvignon","cabernet sauvignon, merlot, carmenere, petite verdot, cabernet franc","4","chile","colchagua valley","","20","","","","","","","","","","","","","","","","","",""
"march","2019","","De La Montana Bordeaux Blend","red","2015","","cabernet sauvignon","cabernet sauvignon, merlot, cabernet franc","4","california","russain river valley","","","","","","","","","","","","","","","","","","","",""
"march","2019","","De La Montana Cabernet NV","red","nv","","cabernet sauvignon","cabernet sauvignon","4","california","russain river valley","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Rudy Cabernet Sauvingon","red","2016","","cabernet sauvignon","cabernet sauvignon","4","california","north coast","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Fujisan Spritz Juama","white","2018","","chenin blanc","chenin blanc","4","australia","mclaren vale","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Mill Creek Gewurztraminer","white","2017","","gewurztraminer","gewurztraminer","4","california","healdsburg","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Les Perrottes Domaine de Poulvarel Costieres de Nimes","red","2014","","grenache","grenache, syrah, mourvedre","4","france","southern rhone","","","","","","","","","","","","","","","","","","","",""
"march","2019","","De La Montana Malbec Rose","rose","2017","","malbec","malbec","4","california","russain river valley","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Thumbprint Cellars Pinot Noir","red","2015","sonoma pinot noir","pinot noir","pinot noir","4","california","russain river valley","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Mill Creek Merlot Port","dessert","nv","","port","port","4","california","healdsburg","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Pierazzuoli Chianti","red","2017","","sangiovese","sangiovese","4","italy","chianti","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Grgich Hills Estate Fume Blanc","white","2015","","sauvignon blanc","sauvignon blanc","4","california","napa valley","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Mill Creek Sauv Blanc","white","2016","","sauvignon blanc","sauvignon blanc","4","california","healdsburg","","","","","","","","","","","","","","","","","","","",""
"may","2019","Francis Ford Coppola Winery","Francis Coppola Claret Black Label","red","2015","","cabernet sauvignon","cabernet sauvignon, petit verdot, petite sirah","4","california","","","","","","","","","","","","","","","","","","","","",""
"may","2019","Owen Roe","Sinister Hand","red","2016","","gsm","grenache, syrah, mourvedre, cinsault","4","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Joseph Drouhin","Joseph Drouhin Chorey Les Beaune","red","2016","bourgogne pinot noir","pinot noir","pinot noir","4","burgundy","cote d'or","cote de beaune","","","","","","","","","","","","","","","","","","",""
"may","2019","Cristom Vineyards","Estate Pinot Noir","red","2017","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Cristom Vineyards","Mt Jefferson Cuvee","red","2017","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Cristom Vineyards","Estate Pinot Noir","red","2014","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Becker Vineyards","Texas Tempranillo Becker Vineyard","red","2017","","tempranillo","tempranillo","4","texas","texas hill country","","","","","","","","","","","","","","","","","","","",""
"may","2019","Ken Wright","Deaux Vert","white","2015","","viognier","viognier","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Ferrari Carano","Ferrari Carano Zinfandel","red","2016","","zinfandel","zinfandel","4","california","sonoma","dry creek","","","","","","","","","","","","","","","","","","",""
"november","2018","","Aglianico Vignetti Basilicata","red","","aglianico","aglianico","aglianico","4","italy","basilicata","","30","","","","","","","","","","","","","","","","","",""
"november","2018","","Dancing Crow","red","","central coast cabernet sauvignon","cabernet sauvignon","cabernet sauvignon","4","california","monterey","","30","","","","","","","","","","","","","","","","","",""
"november","2018","","Beaujolais Nouveau Georges Duboeuf","red","2018","beaujolais","gamay","gamay","4","france","beaujolais","","15","","","","","","","","","","","","","","","","","",""
"november","2018","","Beaujolais Nouveau Ruet Sans Soufre Gamay","red","2018","beaujolais","gamay","gamay","4","france","beaujolais","","20","","","","","","","","","","","","","","","","","",""
"november","2018","","Domaine Jean Foillard Morgon","red","2016","beaujolais","gamay","gamay","4","france","beaujolais","morgon","35","","","","","","","","","","","","","","","","","",""
"november","2018","","Le P'Tite Paysan GSM Blend","red","2015","not in database","grenache","grenache, syrah, mourvedre","4","california","monterey","","25","","","","","","","","","","","","","","","","","",""
"november","2018","","La Paca Sonriente","red","2016","spanish garnacha","grenache","grenache","4","spain","catalayud","","10","","","","","","","","","","","","","","","","","",""
"november","2018","","Ceretto Bricco Rocche","red","2001","barolo","nebbiolo","nebbiolo","4","italy","piedmont","barolo","300","","","","","","","","","","","","","","","","","",""
"november","2018","","Negroamaro 12E Mezzo","red","","not in database","negroamaro","negroamaro","4","italy","puglia","","20","","","","","","","","","","","","","","","","","",""
"november","2018","","Domaine Reyane Et Pascal","red","2015","bourgogne pinot noir","pinot noir","pinot noir","4","france","burgundy","","55","","","","","","","","","","","","","","","","","",""
"november","2018","","Ermita D San Felices","red","2015","rioja tempranillo","tempranillo","tempranillo","4","spain","rioja","","25","","","","","","","","","","","","","","","","","",""
"november","2018","","Vetus Toro","red","2011","spanish tempranillo","tempranillo","tempranillo","4","spain","toro","","20","","","","","","","","","","","","","","","","","",""
"october","2018","","Tua Rita Giusto di Notri","red","2012","not in database","cabernet sauvignon","cabernet sauvignon, merlot, cabernet franc","4","italy","tuscany","","95","","","","","","","","","","","","","","","","","",""
"october","2018","","Castello dei Rampolla","red","2013","not in database","cabernet sauvignon","cabernet sauvignon, sangiovese, merlot","4","italy","tuscany","","210","","","","","","","","","","","","","","","","","",""
"october","2018","","Canella Prosecco Millesimato Brut","sparkling","2016","not in database","glera","glera","4","italy","veneto","","20","","","","","","","","","","","","","","","","","",""
"october","2018","","Tenute Sette Ponti Podere Orma","red","2016","not in database","merlot","merlot, cabernet sauvignon, cabernet franc","4","italy","tuscany","","300","","","","","","","","","","","","","","","","","",""
"october","2018","","Langhe Nebbiolo","red","2016","langhe nebbiolo","nebbiolo","nebbiolo","4","italy","piedmont","langhe","22","","","","","","","","","","","","","","","","","",""
"october","2018","","Paitin Langhe Nebbiolo Starda","red","2016","langhe nebbiolo","nebbiolo","nebbiolo","4","italy","piedmont","langhe","25","","","","","","","","","","","","","","","","","",""
"october","2018","","Pecchenino Langhe Nebbiolo Bricco Ravera","red","2015","langhe nebbiolo","nebbiolo","nebbiolo","4","italy","piedmont","langhe","40","","","","","","","","","","","","","","","","","",""
"october","2018","","Produttori del Barbaresco","red","2015","barbaresco","nebbiolo","nebbiolo","4","italy","piedmont","barbaresco","45","","","","","","","","","","","","","","","","","",""
"october","2018","","Pecchenino Barolo Bussia","red","2013","langhe nebbiolo","nebbiolo","nebbiolo","4","italy","piedmont","barolo","90","","","","","","","","","","","","","","","","","",""
"october","2018","","Pecchenino San Giuseppe","red","2013","langhe nebbiolo","nebbiolo","nebbiolo","4","italy","piedmont","barolo","65","","","","","","","","","","","","","","","","","",""
"october","2018","","Castillero del Diablo, Concha y Toro","red","2017","chile pinot noir","pinot noir","pinot noir","4","chile","central valley","","12","","","","","","","","","","","","","","","","","",""
"october","2018","","La Gerla Rosso di Montalcino","red","2015","not in database","sangiovese","sangiovese","4","italy","tuscany","montalcino","20","","","","","","","","","","","","","","","","","",""
"october","2018","","Tenuta di Nozzole","red","2015","chianti classico","sangiovese","sangiovese","4","italy","tuscany","chianti","20","","","","","","","","","","","","","","","","","",""
"october","2018","","Castello Banfi","red","2015","brunello di montalcino","sangiovese","sangiovese","4","italy","tuscany","montalcino","25","","","","","","","","","","","","","","","","","",""
"october","2018","","Tenuta di Nozzole","red","2014","chianti classico","sangiovese","sangiovese","4","italy","tuscany","chianti","20","","","","","","","","","","","","","","","","","",""
"october","2018","","Castello dei Rampolla","red","2015","chianti classico","sangiovese","sangiovese","4","italy","tuscany","chianti","40","","","","","","","","","","","","","","","","","",""
"october","2018","","Poggio Di Sotto","red","2011","brunello di montalcino","sangiovese","sangiovese","4","italy","tuscany","montalcino","180","","","","","","","","","","","","","","","","","",""
"september","2018","","Anima Negra An-2 Videla Terra Mallorca","red","2014","not in database","callet","callet","4","spain","balearic islands","mallorca","35","","","","","","","","","","","","","","","","","",""
"september","2018","","Max Doix Salanques Priorat Garnacha","red","2014","not in database","garnacha","garnacha","4","spain","priorat","","50","","","","","","","","","","","","","","","","","",""
"september","2019","Domaine Divio","Pinot Noir","red","2016","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Failla","Pinot Noir Eola Springs Vineyard","red","2017","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Chehalem Winery","Ridgecrest Vineyard","red","2016","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","ribbon ridge","","","","","","","","","","","","","","","","","","",""
"september","2019","Chehalem Winery","Ridgecrest Vineyard","red","2017","willamette pinot noir","pinot noir","pinot noir","4","oregon","willamette","ribbon ridge","","","","","","","","","","","","","","","","","","",""
"september","2018","","Il Borrigiano Valdarno Di Sopra","red","","not in database","sangiovese","sangiovese, syrah","4","italy","tuscany","","16","","","","","","","","","","","","","","","","","",""
"september","2018","","Campo Viejo Rioja","red","","rioja tempranillo","tempranillo","tempranillo","4","spain","rioja","","15","","","","","","","","","","","","","","","","","",""
"september","2018","","Bodegas Abanico Hazana Rioja Vinas Viejas","red","2015","rioja tempranillo","tempranillo","tempranillo","4","spain","rioja","","10","","","","","","","","","","","","","","","","","",""
"september","2018","","Bodegas Vetus Tempranillo ","red","2011","spanish tempranillo","tempranillo","tempranillo","4","spain","toro","","30","","","","","","","","","","","","","","","","","",""
"","2019","Scribe","Scribe Pinot Noir","red","2016","sonoma pinot noir","pinot noir","pinot noir","4","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"","","Cantine Povero","barbera d'asti","red","2017","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Sorelle Barbera","red","","","barbera","barbera","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","LangeTwins Winery","Midnight","red","2015","","bordeaux","cabernet sauvignon, malbec","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Julie el Toby Cuvee Bainbridge","red","2017","","cabernet franc","cabernet franc","3.5","loire valley","france","","","yes","","","","","","","","","","","","","","","","",""
"april","2019","Dancing Fox","Cabernet Reserve","red","2013","","cabernet sauvignon","cabernet sauvignon","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","1850 degrees","red","2015","","cabernet sauvignon","cabernet sauvignon, petite sirah, zinfandel","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove Chardonnay","white","2016","","chardonnay","chardonnay","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove petite sirah","red","2012","","petite sirah","petite sirah","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove pinot noir","red","2016","","pinot noir","pinot noir","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Chianti Ruffina Fattoria di Basciano","red","2015","","sangiovese","sangiovese","3.5","italy","chianti","","","","","","","","","","","","","","","","","","","",""
"april","2019","LangeTwins Winery","Estate Sangiovese","red","2017","","sangiovese","sangiovese","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Columbia Crest Grand Estate","red","2017","","syrah","syrah","3.5","washington","columbia valley","","","","","","","","","","","","","","","","","","","",""
"april","2019","Riaza Wines","Faultline","red","2015","","tempranillo","tempranillo, zinfandel","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Michael David","Seven Deadly Zins","red","2017","","zinfandel","zinfandel","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Dancing Fox","Old Vine Zinfandel","red","2016","","zinfandel","zinfandel","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
